epoch,batch,train_loss,train_accuracy,test_loss,test_accuracy,test_precision,test_recall,test_f1-score
1,56.0,2.2645333,0.21875,,,,,
1,57.0,2.3894854,0.28125,,,,,
1,58.0,2.739137,0.1875,,,,,
1,59.0,2.464869,0.25,,,,,
1,60.0,2.4182243,0.25,,,,,
1,61.0,2.3691375,0.25,,,,,
1,62.0,2.4466124,0.25,,,,,
1,63.0,2.493408,0.21875,,,,,
1,64.0,2.3186507,0.34375,,,,,
1,65.0,2.130221,0.28125,,,,,
1,66.0,2.1188953,0.28125,,,,,
1,67.0,2.2521584,0.21875,,,,,
1,68.0,1.996323,0.4375,,,,,
1,69.0,1.9846177,0.34375,,,,,
1,70.0,2.8579128,0.125,,,,,
1,71.0,1.8665354,0.4375,,,,,
1,72.0,2.1472576,0.34375,,,,,
1,73.0,2.4006524,0.375,,,,,
1,74.0,2.3698707,0.3125,,,,,
1,75.0,2.2402616,0.21875,,,,,
1,76.0,2.337978,0.4166666666666667,,,,,
1,,,,4.9031415,0.14745762711864407,0.2080547961411253,0.14875,0.1295716952515134
1,77.0,2.074744,0.3125,,,,,
1,78.0,2.5998049,0.34375,,,,,
1,79.0,1.8539209,0.46875,,,,,
1,80.0,2.3188155,0.28125,,,,,
1,81.0,2.0785854,0.25,,,,,
1,82.0,2.2264938,0.25,,,,,
1,83.0,2.179424,0.34375,,,,,
1,84.0,2.05927,0.28125,,,,,
1,85.0,2.4653022,0.28125,,,,,
1,86.0,2.4709003,0.15625,,,,,
1,87.0,2.358094,0.1875,,,,,
1,88.0,2.1657357,0.375,,,,,
1,89.0,2.0117667,0.3125,,,,,
1,90.0,2.4525683,0.28125,,,,,
1,91.0,2.0674095,0.25,,,,,
1,92.0,2.4034603,0.1875,,,,,
1,93.0,2.7582107,0.15625,,,,,
1,94.0,2.0179894,0.40625,,,,,
1,95.0,2.4831357,0.21875,,,,,
1,96.0,2.07831,0.4375,,,,,
1,97.0,1.8715923,0.46875,,,,,
1,98.0,2.2153795,0.25,,,,,
1,99.0,1.8559432,0.3125,,,,,
1,100.0,2.3294113,0.1875,,,,,
1,101.0,2.2173069,0.15625,,,,,
1,102.0,2.1928902,0.25,,,,,
1,103.0,1.9282454,0.40625,,,,,
1,104.0,2.3235743,0.21875,,,,,
1,105.0,2.2355883,0.3125,,,,,
1,106.0,2.1708522,0.40625,,,,,
1,107.0,2.5816112,0.28125,,,,,
1,108.0,2.5108738,0.25,,,,,
1,109.0,2.1486943,0.34375,,,,,
1,110.0,1.6988199,0.59375,,,,,
1,111.0,2.125266,0.40625,,,,,
1,112.0,1.7388563,0.5,,,,,
1,113.0,2.1387093,0.28125,,,,,
1,114.0,2.1978498,0.3125,,,,,
1,115.0,1.9626806,0.375,,,,,
1,116.0,2.64143,0.25,,,,,
1,117.0,1.770773,0.46875,,,,,
1,118.0,1.958319,0.34375,,,,,
1,119.0,1.9824647,0.34375,,,,,
1,120.0,2.2936382,0.34375,,,,,
1,121.0,2.0857813,0.34375,,,,,
1,122.0,1.7418659,0.4375,,,,,
1,123.0,2.1158435,0.28125,,,,,
1,124.0,1.8812734,0.3125,,,,,
1,125.0,1.8348763,0.40625,,,,,
1,126.0,2.6374085,0.15625,,,,,
1,127.0,2.363194,0.25,,,,,
1,128.0,2.0088673,0.40625,,,,,
1,129.0,1.8460522,0.40625,,,,,
1,130.0,2.0172346,0.40625,,,,,
1,131.0,2.3951163,0.25,,,,,
1,132.0,1.8025733,0.375,,,,,
1,133.0,1.9074814,0.25,,,,,
1,134.0,2.337763,0.25,,,,,
1,135.0,2.0289702,0.3125,,,,,
1,136.0,1.8520995,0.375,,,,,
1,137.0,2.1374996,0.28125,,,,,
1,138.0,1.7333788,0.46875,,,,,
1,139.0,1.4677496,0.46875,,,,,
1,140.0,1.6460527,0.4375,,,,,
1,141.0,1.9060354,0.375,,,,,
1,142.0,1.9435282,0.34375,,,,,
1,143.0,1.4666235,0.53125,,,,,
1,144.0,2.0509508,0.40625,,,,,
1,145.0,1.9928048,0.4375,,,,,
1,146.0,2.1374588,0.3125,,,,,
1,147.0,1.8495606,0.40625,,,,,
1,148.0,1.8816524,0.375,,,,,
1,149.0,1.8470682,0.3125,,,,,
1,150.0,1.755366,0.4166666666666667,,,,,
1,,,,2.4062536,0.3169491525423729,0.3384440990383116,0.3125,0.26129829084841394
2,151.0,2.1827538,0.34375,,,,,
2,152.0,2.0473578,0.28125,,,,,
2,153.0,2.2020404,0.25,,,,,
2,154.0,1.5799387,0.53125,,,,,
2,155.0,1.6232735,0.46875,,,,,
2,156.0,1.7027352,0.40625,,,,,
2,157.0,2.0590034,0.375,,,,,
2,158.0,1.9245281,0.375,,,,,
2,159.0,1.6803949,0.375,,,,,
2,160.0,1.953161,0.46875,,,,,
2,161.0,2.0136101,0.375,,,,,
2,162.0,1.7782879,0.5,,,,,
2,163.0,2.0177238,0.40625,,,,,
2,164.0,1.694736,0.40625,,,,,
2,165.0,1.617629,0.4375,,,,,
2,166.0,1.7615982,0.3125,,,,,
2,167.0,1.901445,0.40625,,,,,
2,168.0,1.8542591,0.46875,,,,,
2,169.0,1.8628131,0.375,,,,,
2,170.0,1.8968346,0.4375,,,,,
2,171.0,1.7461197,0.40625,,,,,
2,172.0,1.7024052,0.40625,,,,,
2,173.0,1.9270648,0.3125,,,,,
2,174.0,1.7139723,0.5,,,,,
2,175.0,2.2783155,0.375,,,,,
2,176.0,1.740036,0.40625,,,,,
2,177.0,1.9727473,0.4375,,,,,
2,178.0,1.9212307,0.4375,,,,,
2,179.0,1.5478648,0.4375,,,,,
2,180.0,2.1595762,0.4375,,,,,
2,181.0,2.2181475,0.34375,,,,,
2,182.0,1.5704771,0.5625,,,,,
2,183.0,1.3973322,0.65625,,,,,
2,184.0,1.3206997,0.53125,,,,,
2,185.0,1.2654498,0.59375,,,,,
2,186.0,1.6988975,0.46875,,,,,
2,187.0,1.9542774,0.34375,,,,,
2,188.0,1.436805,0.40625,,,,,
2,189.0,1.4465818,0.53125,,,,,
2,190.0,1.4682765,0.5625,,,,,
2,191.0,2.3782327,0.28125,,,,,
2,192.0,1.2882032,0.5625,,,,,
2,193.0,1.8564779,0.4375,,,,,
2,194.0,1.7539583,0.5,,,,,
2,195.0,1.8139313,0.40625,,,,,
2,196.0,2.875189,0.15625,,,,,
2,197.0,2.3728886,0.34375,,,,,
2,198.0,1.7273929,0.4375,,,,,
2,199.0,1.969776,0.3125,,,,,
2,200.0,2.7926323,0.1875,,,,,
2,201.0,2.418385,0.15625,,,,,
2,202.0,2.1382065,0.40625,,,,,
2,203.0,2.2114227,0.40625,,,,,
2,204.0,1.9349322,0.46875,,,,,
2,205.0,1.4738252,0.46875,,,,,
2,206.0,1.9361818,0.34375,,,,,
2,207.0,1.8276898,0.25,,,,,
2,208.0,1.5676808,0.5,,,,,
2,209.0,1.6988449,0.46875,,,,,
2,210.0,1.6851071,0.40625,,,,,
2,211.0,1.7229879,0.3125,,,,,
2,212.0,1.7714723,0.5625,,,,,
2,213.0,1.9867045,0.40625,,,,,
2,214.0,1.8574024,0.3125,,,,,
2,215.0,1.8286623,0.53125,,,,,
2,216.0,1.6090997,0.5,,,,,
2,217.0,1.9475572,0.34375,,,,,
2,218.0,1.7651707,0.4375,,,,,
2,219.0,1.7863438,0.28125,,,,,
2,220.0,1.5203463,0.46875,,,,,
2,221.0,1.7110125,0.46875,,,,,
2,222.0,1.8292345,0.40625,,,,,
2,223.0,1.5265727,0.53125,,,,,
2,224.0,1.3636556,0.4583333333333333,,,,,
2,,,,2.9799676,0.31186440677966104,0.4729536859602627,0.3179166666666667,0.29804089684283286
3,225.0,1.1520195,0.625,,,,,
3,226.0,1.530778,0.375,,,,,
3,227.0,1.7422695,0.46875,,,,,
3,228.0,2.103209,0.34375,,,,,
3,229.0,1.8533688,0.375,,,,,
3,230.0,1.4476299,0.5,,,,,
3,231.0,1.4762261,0.46875,,,,,
3,232.0,1.4880594,0.5,,,,,
3,233.0,1.5283252,0.5625,,,,,
3,234.0,1.5709054,0.46875,,,,,
3,235.0,1.4933268,0.5625,,,,,
3,236.0,1.8505732,0.46875,,,,,
3,237.0,1.6508693,0.46875,,,,,
3,238.0,1.8016083,0.4375,,,,,
3,239.0,1.9985406,0.40625,,,,,
3,240.0,2.0889163,0.28125,,,,,
3,241.0,1.6425859,0.46875,,,,,
3,242.0,1.4034116,0.5625,,,,,
3,243.0,1.9652677,0.4375,,,,,
3,244.0,1.6596538,0.5,,,,,
3,245.0,1.7433231,0.4375,,,,,
3,246.0,2.4286559,0.34375,,,,,
3,247.0,1.5787039,0.5,,,,,
3,248.0,2.1782134,0.375,,,,,
3,249.0,1.8749367,0.3125,,,,,
3,250.0,1.6294805,0.40625,,,,,
3,251.0,1.9921948,0.375,,,,,
3,252.0,1.4029293,0.5625,,,,,
3,253.0,1.583845,0.40625,,,,,
3,254.0,1.7933567,0.40625,,,,,
3,255.0,1.457619,0.46875,,,,,
3,256.0,1.2416326,0.625,,,,,
3,257.0,2.0584462,0.46875,,,,,
3,258.0,1.8705417,0.34375,,,,,
3,259.0,1.6387141,0.40625,,,,,
3,260.0,1.8331066,0.375,,,,,
